States,Period,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
andaman and nicobar,Jan,27.68,26.75,26.7,26.02,26.12,27.62,26.78,26.4,26.6,26.48,26.28,26.01,26.69,25.94,27.02,25.22,25.68,26.32,27.46,26.2,27.0,26.46,26.48,26.81,26.03,26.66,26.34,27.39,27.23,26.38,26.88,26.18,27.09,26.76,26.23,25.94,26.56,26.82,26.89,24.52,27.25,27.25,25.4,25.96,25.88,26.45,26.52,26.95,25.41,26.25,25.69,26.45,25.95,26.35,25.49,24.81,25.51,26.8,26.23,26.59,26.11,25.88,24.98,26.26,25.14,26.75,26.09,25.81,26.65,26.4,25.46,25.09,25.64,24.4,25.7,25.71,25.17,25.64,26.72,26.0,25.4,25.26,25.62,25.44,26.47,25.38,26.22,26.36,25.96,26.61,26.84,25.56,25.73,26.83,26.46,26.48,25.45,27.03,26.65,26.53,26.91,26.39,26.14,26.85,26.42,26.28,26.66,26.84,25.7,27.14,26.53,26.78,26.83,25.88,26.29,26.8,26.95,26.79,27.3,27.56
andaman and nicobar,Feb,28.5,26.67,27.54,26.49,27.29,27.4,26.92,26.29,27.13,26.84,26.52,27.13,27.35,26.58,27.85,26.33,26.75,25.5,27.17,25.97,26.09,26.39,25.43,26.21,26.03,26.71,26.73,26.82,26.32,26.29,26.51,26.27,26.65,26.35,26.42,25.99,27.08,26.55,26.21,26.11,26.38,27.17,25.84,26.24,26.25,27.45,27.33,27.09,26.5,26.8,25.3,26.94,25.87,26.31,25.73,25.63,25.65,26.49,26.57,26.38,26.5,25.65,26.31,26.74,26.4,26.86,25.91,25.81,26.18,26.47,25.64,25.85,26.62,25.16,25.58,24.55,25.37,25.59,26.47,26.44,25.98,25.86,26.08,26.54,26.53,25.75,25.8,27.03,25.18,27.03,26.71,25.61,25.81,27.25,26.13,26.08,25.96,27.14,26.5,25.93,26.53,26.83,26.9,26.39,27.23,27.25,26.59,26.57,26.8,27.51,26.87,27.0,27.73,26.46,26.75,26.86,26.83,26.61,27.48,27.14
andaman and nicobar,Mar,27.03,28.09,27.66,27.55,27.89,26.88,27.04,27.59,27.54,26.42,27.18,27.56,27.53,27.53,28.06,27.69,27.03,27.21,27.56,27.99,27.73,26.88,27.23,28.07,27.53,27.66,27.37,27.07,27.33,26.98,27.65,27.51,27.77,27.45,27.79,27.17,27.36,27.31,27.34,26.86,27.18,26.98,26.89,26.9,26.73,28.62,28.16,28.14,27.78,27.88,26.82,26.93,26.93,27.08,26.78,26.82,26.63,27.5,26.84,27.18,26.84,26.88,26.76,27.37,26.69,27.17,26.63,27.16,27.39,27.36,26.59,26.35,27.09,26.52,26.93,26.36,26.51,26.42,27.38,27.35,27.23,26.93,27.15,26.77,27.17,26.77,27.07,27.17,26.1,27.27,27.69,26.92,27.26,27.02,27.55,27.41,27.07,27.68,27.38,26.9,27.13,27.42,27.15,27.49,27.69,27.58,27.3,27.29,27.67,28.11,26.39,27.53,27.84,27.54,27.86,28.29,27.78,27.63,27.88,27.9
andaman and nicobar,Apr,28.52,29.35,29.53,27.72,28.79,29.62,28.75,29.23,28.41,27.8,27.96,29.25,28.94,28.52,28.89,29.39,28.65,28.17,28.93,28.66,28.84,27.83,27.99,28.61,27.92,29.11,28.05,27.9,28.34,28.38,29.34,28.36,28.56,28.16,28.63,28.41,29.01,28.55,28.67,28.69,29.25,27.99,27.67,28.22,27.94,28.74,28.66,28.27,28.11,28.37,27.99,27.96,28.1,28.44,27.89,27.54,28.38,28.78,28.4,28.52,28.26,28.35,27.84,28.59,27.76,28.32,27.87,27.67,28.66,28.21,27.91,27.09,28.64,27.52,27.56,27.11,27.61,27.78,28.39,28.92,27.96,27.83,28.76,28.21,28.29,28.33,28.79,28.48,27.56,28.67,28.5,28.63,28.35,28.09,28.86,27.95,27.52,28.86,27.27,27.3,28.95,28.38,28.33,29.07,28.85,27.94,28.64,27.73,28.24,29.65,27.94,28.48,28.73,28.98,28.39,29.74,28.31,28.18,29.39,28.96
ANDAMAN AND NICOBAR,May,28.28,28.25,29.1,28.02,27.8,29.67,27.42,27.7,27.72,28.26,28.0,28.7,28.64,28.44,28.42,28.0,28.03,27.32,28.8,28.16,28.04,28.08,27.74,28.28,28.05,29.36,27.35,28.0,28.02,28.43,28.8,28.88,28.67,28.69,28.12,28.58,27.82,27.51,27.92,28.19,28.83,27.56,27.57,27.64,27.56,28.51,29.31,28.09,28.37,28.62,28.12,28.24,27.74,27.52,27.57,27.03,29.14,28.86,28.27,27.94,27.34,28.0,28.64,27.26,27.69,27.76,27.54,27.58,28.28,27.56,27.37,27.83,27.4,27.12,26.8,26.21,27.3,27.5,28.37,28.32,27.72,27.93,28.66,27.62,27.56,27.44,28.59,27.73,27.31,28.21,28.71,28.65,28.4,27.76,28.34,27.46,28.26,28.86,26.97,27.41,27.19,27.52,27.97,27.45,28.25,26.98,27.29,26.66,27.64,29.5,27.81,27.94,28.4,28.74,28.78,28.6,28.39,27.74,29.06,29.28
andaman and nicobar,Jun,28.11,27.88,27.55,27.3,27.44,27.78,27.67,27.25,27.27,27.47,27.41,27.68,27.41,27.3,27.18,27.25,27.43,27.07,27.3,27.42,27.5,27.51,27.42,27.59,27.27,27.72,27.42,27.27,27.09,27.27,27.91,27.43,27.29,27.47,27.43,27.11,27.32,27.09,26.97,27.43,28.02,26.91,26.81,26.91,26.83,27.99,27.67,27.67,27.69,27.49,26.81,27.1,27.08,27.15,26.45,26.84,27.45,27.28,27.63,27.16,27.18,27.11,27.11,26.87,26.69,27.31,27.33,26.95,27.32,27.07,26.53,26.81,27.22,26.65,26.12,26.45,27.19,26.6,27.65,26.93,26.82,26.72,27.05,26.61,26.46,26.8,27.56,27.01,26.34,27.69,27.56,27.44,28.01,26.97,27.63,27.22,27.7,27.79,26.73,26.94,27.0,27.29,27.51,27.25,27.14,26.85,27.58,26.8,26.95,28.2,27.45,27.54,27.16,27.79,27.87,27.55,27.55,26.99,27.61,27.68
andaman and nicobar,Jul,28.01,28.18,27.56,27.28,28.1,27.86,27.19,27.07,26.99,27.86,27.38,27.21,27.06,27.16,28.05,27.56,27.18,27.76,27.58,27.57,27.08,26.9,26.36,26.7,27.55,27.68,27.34,27.49,27.52,27.33,27.56,27.46,27.3,27.74,27.36,27.1,27.0,26.97,27.05,27.1,27.49,26.57,26.5,26.49,26.65,27.65,27.52,27.47,27.04,27.11,26.53,26.81,26.46,26.63,26.62,26.27,26.81,26.79,26.3,26.96,26.6,26.75,26.73,26.72,26.75,26.71,26.69,26.73,26.73,26.43,26.13,26.67,26.85,26.45,26.27,26.38,26.49,26.15,27.04,26.75,26.52,26.22,26.77,26.21,26.14,26.45,27.76,26.55,26.45,27.27,27.36,26.91,27.18,26.43,26.9,27.0,26.75,27.41,26.54,27.0,26.93,27.23,26.71,26.89,26.93,27.06,26.91,26.59,27.03,27.24,26.72,27.18,26.54,27.16,27.71,27.82,27.44,27.19,27.81,27.62
ANDAMAN AND NICOBAR,Aug,27.91,27.57,27.55,27.89,27.93,27.75,27.29,26.95,27.18,27.64,27.73,27.16,27.62,26.91,26.65,27.42,27.16,27.26,27.82,27.41,27.27,27.1,27.25,27.48,27.16,27.29,27.18,27.2,27.18,27.44,27.5,26.83,27.89,27.12,27.2,27.16,27.44,27.37,27.4,26.81,27.72,26.57,26.57,26.57,26.65,27.36,26.65,27.62,27.38,27.68,27.12,26.47,26.8,26.65,26.45,26.45,26.89,26.77,26.8,27.24,26.51,26.3,26.61,26.65,26.65,26.89,26.53,27.07,26.75,26.5,26.34,26.65,26.69,26.58,26.43,26.05,26.35,26.58,27.27,26.46,26.44,26.21,26.61,26.86,26.47,26.41,27.07,26.75,26.19,27.43,26.85,27.03,27.24,26.65,26.69,27.05,26.96,27.29,26.63,26.97,26.9,26.66,27.26,27.01,27.19,26.83,27.09,26.98,27.61,27.03,26.91,27.34,27.39,27.25,27.36,26.78,27.4,26.83,26.6,27.72
ANDAMAN AND NICOBAR,Sep,26.46,27.16,27.22,27.09,27.84,27.82,27.56,26.86,27.18,26.58,27.19,27.05,26.96,27.53,27.71,27.11,26.91,27.53,27.77,27.06,26.62,27.14,26.68,27.22,27.5,26.96,27.59,27.3,27.57,27.05,27.4,26.99,27.23,27.38,26.95,27.59,27.47,27.05,27.09,27.11,27.42,26.44,26.38,26.54,26.46,27.43,27.62,27.35,27.23,27.04,26.91,26.84,26.64,26.01,26.63,26.45,26.68,26.96,26.5,26.68,26.26,26.48,26.72,26.5,26.36,26.56,26.86,26.71,26.56,26.73,26.56,26.72,26.5,26.44,26.11,26.29,26.22,26.29,27.03,26.9,26.58,26.2,26.37,26.18,26.08,26.36,27.23,26.39,26.23,27.11,26.87,26.94,26.7,26.63,26.83,26.52,26.99,26.78,26.79,26.98,27.01,26.44,26.98,27.05,26.91,26.56,26.84,26.88,27.25,27.14,26.58,26.49,26.76,26.97,26.85,26.51,27.63,26.91,26.57,27.19
andaman and nicobar,Oct,27.71,28.44,27.61,27.97,27.94,27.56,27.36,27.46,27.45,27.11,27.23,27.35,27.42,28.2,27.38,27.4,27.06,27.46,28.1,27.02,27.22,27.3,27.34,26.89,27.06,27.19,27.24,27.1,26.87,28.08,27.08,27.5,27.34,27.61,27.83,27.49,27.38,27.3,27.22,27.47,27.6,26.65,26.65,26.73,26.49,27.56,27.85,27.54,27.64,27.55,26.89,26.73,27.18,26.49,26.45,26.35,26.79,26.93,26.75,26.79,26.45,27.01,26.74,26.82,26.77,26.85,26.55,27.01,27.17,26.56,26.09,26.87,26.65,26.48,26.36,26.69,26.62,26.61,27.07,26.89,26.85,26.46,26.44,26.42,26.35,26.33,27.21,26.33,26.0,27.25,26.72,26.36,27.02,26.74,27.03,26.55,27.37,26.96,26.34,27.05,26.95,27.27,27.09,27.11,27.15,27.16,26.75,27.45,27.51,27.12,26.95,27.22,27.22,27.37,27.59,27.49,27.62,27.02,28.05,26.95
